gene,baseMean,log2FoldChange,lfcSE,pvalue,padj
Cvig_LOC111131320,1992.17306933423,2.97447865670508,0.248419826273295,4.05448279034507e-35,7.39298610528527e-33
Cvig_LOC111101513,1602.79474237432,-0.714412234477122,0.621579566433937,0.0914679716517394,0.181059059096017
Cvig_LOC111131153,1768.34134654121,0.853197532623634,0.146509725844828,2.36082658380479e-09,3.13567471941567e-08
Cvig_LOC111100845,1715.22105047556,0.28982281755441,0.186298214817308,0.106317395188945,0.203716347642304
Cvig_LOC111133043,1805.83152476014,1.43754118941319,0.214420987773489,1.73661547616358e-12,3.65453870550901e-11
Cvig_LOC111129561,1548.1671069893,-2.12026620541331,0.328429786604627,1.46119082764686e-12,3.09766563562636e-11
Cvig_LOC111103370,1656.87289851103,0.0522957184587486,0.141505719655548,0.705821008973179,0.804637480685878
Cvig_LOC111134242,1737.92493310072,0.989449966834037,0.149871436154124,1.22069353253843e-11,2.30303693085675e-10
Cvig_LOC111134293,1749.71043932849,1.08440597368243,0.269365326587461,1.27404141061206e-05,8.51836292873198e-05
Cvig_LOC111129825,1709.23625368893,0.706766101019729,0.182559802356956,5.79392740861286e-05,0.000335172272335765
Cvig_LOC111120717,1671.09011390594,0.0701776671693172,0.130911349168009,0.585148930400225,0.709742078756018
Cvig_LOC111134967,1521.04595850919,-2.00031323153939,0.283021107101484,2.75177738404791e-14,7.2097024567933e-13
Cvig_LOC111106127,1647.83008010845,-0.652603007675301,0.222972654752194,0.00197247630217688,0.00750835826622053
Cvig_LOC111114630,2089.38270544217,4.49614394701696,0.500196777765196,1.27945898988066e-21,6.89923655312572e-20
Cvig_LOC111119369,1694.91703011081,0.344954966510148,0.186439337651864,0.0546903256759063,0.120273725839826
Cvig_LOC111129277,1767.18984740974,1.08099915839822,0.499523960909613,0.00574516493817182,0.0187125687118875
Cvig_LOC111128359,1752.93429811784,1.0910847489612,0.254206609023516,3.93728764592387e-06,2.93449961634519e-05
Cvig_LOC111114600,2071.1519593935,4.17049806236897,0.496202454804701,2.53718835029385e-19,1.11470204052952e-17
Cvig_LOC111129209,1897.30611671131,2.27157318523946,0.32333967328089,2.24256231793958e-14,5.92972576021828e-13
Cvig_LOC111112603,1610.13386976161,-0.68453112295334,0.226527866093256,0.00137009412416501,0.0054798553501693
Cvig_LOC111132080,1703.74388470019,0.431249322036727,0.126272645787161,0.000509024532499806,0.00230574079231855
Cvig_LOC111135411,1758.65433540329,1.00695601680246,0.153080958844133,1.3743437235519e-11,2.56816851125695e-10
Cvig_LOC111132215,1628.59237492652,-0.0885003539947657,0.107824199818785,0.406000647199006,0.552872454819454
Cvig_LOC111123994,1591.57608417558,-0.392820328363873,0.19638989862107,0.0369664360138776,0.0878819974419903
Cvig_LOC111102704,1649.94024515396,-0.140073998179369,0.306755484085771,0.613706572675647,0.733142991556968
Cvig_LOC111124757,1824.08971441623,1.88892037621039,0.198750682438699,4.65421520829263e-23,2.89010273121242e-21
Cvig_LOC111127397,1776.32548091835,1.44342950505906,0.295040112183187,8.11901694660343e-08,8.31540225911055e-07
Cvig_LOC111119118,1646.98046219662,-0.442016023183587,0.221849175145332,0.0354993482898249,0.0850119520307095
Cvig_LOC111115065,1760.13421035244,1.1467028108516,0.124767979374595,7.93536739559154e-21,3.99874064686797e-19
Cvig_LOC111118083,1625.00583625085,0.214304976517136,0.32083152632501,0.455876880936585,0.600102069258762
Cvig_LOC111108402,1574.3597841513,-1.09779388288767,0.157034682667375,6.25571074443688e-13,1.38384569027532e-11
Cvig_LOC111124521,1699.6738881643,0.79361026606578,0.197519313978626,2.65868663589373e-05,0.00016503004708632
Cvig_LOC111129351,1671.8466310145,0.42012432497951,0.113037214420123,0.000163549168479008,0.000844636799904261
Cvig_LOC111125741,1508.571675127,-2.42488451227665,0.560556767290137,1.26143184962387e-07,1.25013721949058e-06
Cvig_LOC111099172,1854.94275457586,2.07091243390499,0.396831866330662,2.71096836250518e-09,3.56322904146775e-08
Cvig_LOC111105980,1676.96447272388,0.729199775682299,0.200606494947249,0.000141920990170763,0.00074367070347786
Cvig_LOC111122309,1650.40800633301,0.30036572586951,0.158638034149197,0.0517023498242312,0.114855677831364
Cvig_LOC111119987,1628.31928697331,0.30921242857309,0.208738938937496,0.120518716819797,0.224028457400146
